IRIS;COM;DISP_Q113;DISP_MED13;DISP_Q313;DISP_EQ13;DISP_PTSAC13;DISP_PBEN13;DISP_PPEN13;DISP_PPAT13;DISP_PPSOC13;DISP_PIMPOT13
33100103;3310;11992,66667;16120;21319,42857;0,578583245;56,2;2,8;34,2;8,2;11,5;-12,9
33100104;3310;14540,95238;18917,61905;24437,77778;0,523153858;57,6;2,9;39,8;9,5;5,9;-15,7
33100105;3310;13138;17945,57143;25113,33333;0,667314127;54,7;5,3;36,2;11,4;8,5;-16,1
33100106;3310;15393;23120;35218;0,857482699;34,2;8,8;53,7;22,3;3,4;-22,4
33100107;3310;15477;21948;31706;0,739429561;37,8;7,1;51,8;18,8;4,2;-19,7
33100108;3310;14934;20017,77778;27520;0,628741119;47,6;2,9;45,9;15,8;4,2;-16,4
33100109;3310;10311;13511,11111;17642;0,542590461;40;1,4;40,9;6,8;20,3;-9,4
33100110;3310;14313;18354;23924;0,523646072;46,4;2,1;47,9;11,3;6,2;-13,9
33210101;3321;16479,5;21331,73913;28209,61111;0,549890051;57;6,3;37,8;12,4;4,1;-17,6
33210102;3321;16922,17391;21179,52381;27209,2;0,485706203;59,7;3,6;39;10,7;3,8;-16,8
33210103;3321;14050;18880,4;24239,5;0,539686659;58,4;3,9;33,8;10,2;8;-14,3
33210104;3321;17735,71429;22045,5;29286;0,523929406;57,1;4,3;40,9;11,7;3,5;-17,5
33210105;3321;18222;22811,2;28353,80952;0,444159427;51,8;8,3;41,2;12,8;3;-17,1
40700101;4070;14856,875;18827;24352,66667;0,504370939;68,8;3,4;27,7;9,4;6,6;-15,9
40700102;4070;12264,5;16816;23936,4;0,69409491;54,2;5,2;34,3;10,7;10,2;-14,6
40700103;4070;16056,38889;21400,83333;29217,5;0,614981244;54,7;10,2;35,9;13,7;4,4;-18,9
40700104;4070;14120;18589,23077;24600,43478;0,563790665;57,9;3,3;37,6;8,8;6,6;-14,2
40700105;4070;14699,21569;19574,5;25115;0,532109853;60,3;3,4;37;10;5,1;-15,8
40700106;4070;17677;22509,5;28339,33333;0,473681483;59,1;7;37,5;11,6;2,9;-18,1
40700107;4070;10286,5;14067;19031,42857;0,621662655;52,1;3,2;31,8;9,5;15,1;-11,7
40700108;4070;13400,64516;18461;24990,95238;0,627826619;48,5;4,7;42,8;12,7;7,4;-16,1
41120101;4112;10672;14041,53846;19056,66667;0,597133048;58,4;3,4;27,6;7,6;14;-11
41120102;4112;12379;16420;22371;0,608526188;54,3;2,6;40,2;8,1;7,9;-13,1
41120103;4112;12226;16735;23117,33333;0,650811672;47,8;3,8;40,7;13,3;8,3;-13,9
41120104;4112;15012;20598;27697,33333;0,615852672;52,6;7,8;40;12,9;4,4;-17,7
41120105;4112;15819;21972,30769;30006;0,645676376;54;4,5;34,5;25,3;3,5;-21,8
41120106;4112;14891,5;19719,33333;26211,33333;0,574047466;58,6;3,8;33;15,4;4,4;-15,2
41120107;4112;10794,44444;13888,88889;19696,66667;0,64096;52,5;1,4;34,4;8,3;14,3;-10,9
41120108;4112;16906,66667;22876;30505;0,594436673;57,4;3,8;35,6;16,6;3,5;-16,9
41120109;4112;15734,33333;22142,66667;31394;0,707216836;60,3;9,4;31,3;14,2;3,5;-18,7
50230102;5023;13723,27083;17742,08333;23746;0,564912755;58,6;6,7;34,1;10,3;6,9;-16,6
50230103;5023;15230,66667;19070;24477;0,484862786;64,4;5,5;31,2;10,9;4,9;-16,9
50230104;5023;15430;20017,6;26046;0,530333307;64,1;7,9;30,3;10,9;4,2;-17,4
50230105;5023;14833,21429;19105,83333;24702,66667;0,516567491;67,6;6,6;26,7;9,3;5,4;-15,6
50610101;5061;11993,92857;15807,69231;21001,5;0,569822037;65;4;25,1;9,3;9,9;-13,3
50610102;5061;14100;19073,47826;25985;0,623116552;50,2;6,1;40,5;14,2;5,2;-16,2
50610103;5061;15484,78261;20798,66667;28057;0,604472277;61,4;8,4;33,3;10,9;4,2;-18,2
50610104;5061;17000;22082,30769;29629,5;0,57192845;61,4;13,5;26,2;16,9;3,2;-21,2
50610105;5061;14340,95238;19065,2381;25430,66667;0,581671953;50,7;3,8;43;12,1;5,5;-15,1
50610106;5061;11942;16771,33333;22907;0,653794173;56,7;3,3;33,4;9,8;10,2;-13,4
50610107;5061;13926,66667;17657,94872;23601,33333;0,54789301;61,1;3,5;31,9;11,7;7,5;-15,7
50610108;5061;13431,78571;19453,33333;25651,66667;0,62816386;60,3;7;28,3;14;7;-16,6
50610109;5061;16104,61538;22232,38095;30715;0,657166889;58,6;12,5;30,7;13,6;4,2;-19,6
50610110;5061;13261;17870;23192;0,55573587;50,9;3,3;42,5;11,3;7;-15
50610111;5061;13730;18112;23598,46154;0,544857638;58,8;3;38,7;7;6,7;-14,2
50610112;5061;14793,07692;19386;25807,33333;0,568155185;54,1;3,3;42,7;11,8;4,2;-16,1
50610113;5061;14853,04348;19604;25156,5;0,525579296;53,5;4,2;42,2;10;4,8;-14,7
50610114;5061;16164,5;20456,66667;26183,33333;0,48975884;67,1;5,6;30,5;9,7;3,8;-16,7
50610115;5061;12082,22222;17105,75;23426,8;0,663202594;55,1;3,3;38,2;9,3;8,7;-14,6
50610116;5061;15439;19834,28571;26019,56522;0,533448261;67,7;5,9;28,5;8,2;5,7;-16
50610201;5061;16502;21149,52381;28475,33333;0,566127798;65,3;6,7;30;11;3,3;-16,3
60040102;6004;16671;22293,5;30180,66667;0,605991283;76,2;4,9;25,9;7,5;3,9;-18,4
60040103;6004;16193;25562;39943,57143;0,929135883;39,6;16,3;36,1;40,6;1,2;-33,8
60040104;6004;17604,66667;25445,65217;35864,4;0,71759738;62,3;11,5;28,8;17,8;2,1;-22,5
60040105;6004;17978,75;25140;35478;0,696071997;60,6;8;35,1;17,3;2;-23
60040106;6004;15860;22047,33333;31006,66667;0,687006743;69,1;6,7;28,4;13,1;3,1;-20,4
60040107;6004;13870;19490;25815,55556;0,612906904;72,7;4,3;27,5;8,4;4,3;-17,2
60040108;6004;14427,91667;19539,33333;26553,33333;0,620564502;72,2;3,5;28,8;7,5;5,1;-17,1
60040109;6004;15845,33333;20742,85714;27739,2;0,573395776;77,9;3,1;22,9;11,2;4;-19,1
60040110;6004;16900,33333;22829,04762;30771;0,607588494;61,9;6,7;34,6;14,1;2,3;-19,6
60040111;6004;14287;20134;28583;0,710042714;50,6;4,7;44,9;15,3;3,3;-18,8
60040112;6004;16779,33333;22277,08333;30262,66667;0,605255775;67,9;3,8;33,6;11,6;2,4;-19,3
60040114;6004;14499,13043;19865,75549;27414,7619;0,650145497;57,3;5,3;38,1;14,7;4;-19,4
60040115;6004;12031,33333;17483;25105,2381;0,747806713;61,3;6,2;29,1;16,3;5,5;-18,4
60040116;6004;15996;21225,33333;27987,5;0,564961681;75,3;5,6;26;7,6;3,5;-18
60040117;6004;16121,11111;22872,33333;31624;0,677800934;62,7;7;33,9;13,8;2,9;-20,3
60040118;6004;14761;20297,33333;28673,5;0,685434868;58,7;4,9;37;14,3;4;-18,9
60040119;6004;16664,85714;21557,14286;28954;0,570072896;76,6;6,1;23;11,5;3,1;-20,3
60040120;6004;15092;21001,33333;29717,33333;0,696400229;54,5;6,9;41,9;13,6;3,6;-20,5
60040121;6004;15645,33333;22715,33333;33798,57143;0,799162303;48,9;8,1;42,4;19,3;2,4;-21,1
60040122;6004;16856,83333;24050,71739;35988,66667;0,795478697;63,1;12,5;28,4;20;2,2;-26,2
60040123;6004;14285;19265,65217;26710;0,644930153;52,2;4,2;42,5;15,6;4;-18,5
60040124;6004;14555,33333;21400,66667;31249;0,780053581;45,3;6,9;46,1;20,3;3;-21,6
60040125;6004;13006;18647;27166;0,759371481;47,8;5;44,5;19,3;4,8;-21,4
60040126;6004;13440;18640,66667;25288,09524;0,635604694;63,2;3;34,8;11,2;5,3;-17,5
60120101;6012;14763,33333;20972,6087;29617,33333;0,708257147;78,2;4,6;27;8,7;3,3;-21,8
60120102;6012;13258,88889;18147,33333;25700;0,685561393;81,4;1,8;24,5;9;3,3;-20
60120103;6012;13862,69231;18492;24939,33333;0,598996378;82,2;2;24;5,5;3,1;-16,8
60120104;6012;14325,2;19475,33333;26610,76923;0,630827161;84,1;2,6;22,5;8,2;2,3;-19,7
60120105;6012;12973,33333;17915,03846;25023,33333;0,672619265;78,1;2,8;24,7;10,2;3,1;-18,9
60270101;6027;12862;17637,33333;24249,64286;0,64565559;62,4;4,4;32;10,3;6,6;-15,7
60270102;6027;13838,13333;18104;23437,82609;0,530252583;75,8;3,1;22,6;4,7;7,8;-14
60270103;6027;15507,14286;21245,71429;28595;0,6160234;64,5;3,9;32,5;13,6;4,3;-18,8
60270104;6027;17135;23597,61905;32603,80952;0,655524165;69,9;7,3;26,4;14,3;3,2;-21,1
60270105;6027;16216,5;22774;32572;0,718165452;60,4;9,1;33,4;15,9;3;-21,8
60270107;6027;13856;18893,84615;25148,66667;0,597690199;48,2;3;49,3;10,8;4,7;-16
60270108;6027;14947,77778;19546,66667;26551;0,593616417;45,7;3,7;51,6;13;3,1;-17,1
60270109;6027;16486,4;22278,66667;29422,66667;0,580657131;52,3;3,9;44,5;16,6;2,7;-20
60270110;6027;16394;21673,80952;29303;0,595603647;59,7;6,5;36,7;13,1;3;-19
60270111;6027;16318,26087;22557,77778;30861,73913;0,644721231;67,7;6,2;30,1;11,9;3,4;-19,3
60270112;6027;17704,66667;24041,66667;32138;0,60034662;69,9;8,2;24,6;17,3;2,3;-22,3
60270113;6027;17099,3913;23104,26667;30236,66667;0,568608195;67,6;7;30,1;12,5;2,8;-20
60270114;6027;15706,15385;21723,33333;29248;0,623377911;62,4;5,3;33,6;14,7;3,9;-19,9
60270115;6027;18066,08696;24499;34009,6;0,650782197;68,9;8,8;25,1;17,5;2,2;-22,5
60270116;6027;14250,5;19417;25617,61905;0,585420974;43,1;5,5;51,3;12,6;4,1;-16,6
60270117;6027;14446;19628;25802;0,578561239;53,6;3,8;44,1;10,8;3,9;-16,2
60290101;6029;15352;23115,5;37191,6;0,944803271;29,8;5,4;51,8;38,6;2,1;-27,7
60290102;6029;14701;21127,33333;31214;0,781594143;31,4;4,5;59;23,2;3;-21,1
60290103;6029;15672;24918;40344;0,990127619;38,6;9;45,7;36,4;1,8;-31,5
60290104;6029;14636;22177,33333;32816,66667;0,819785968;45,4;7,2;41,3;28,9;2,6;-25,4
60290105;6029;13155,55556;18244,58333;25271,04167;0,664059348;58,8;6,8;33,9;13,1;5,3;-17,9
60290106;6029;15749,23077;25519;41783,2;1,020179836;37,8;9,7;43,2;39,4;2;-32,1
60290107;6029;13451,5;18777,33333;27261,5;0,735461194;52,5;6,6;39,6;16,1;4,6;-19,4
60290108;6029;11294,44444;16004;21816,4;0,657457858;59,5;4,9;32,8;9,3;8,3;-14,8
60290109;6029;11644;16970,5;23724,66667;0,711862742;60;6,2;30,2;14,3;7,1;-17,8
60290110;6029;12014;17469,33333;26489;0,828594871;40,8;5,5;42,1;26,4;5,3;-20,1
60290111;6029;13507;20594;33543,33333;0,972920915;27,3;6,3;49,5;43,5;3,3;-29,9
60290112;6029;13072,5;18620,55556;27252,22222;0,761509085;49,3;7,6;41,2;16,9;4,7;-19,7
60290113;6029;14108;20638,66667;30384;0,788616836;52,7;7,7;40,2;15,9;3,3;-19,8
60290114;6029;14020,8;20311;27992;0,687863719;59,2;6,9;34,3;14,2;4,2;-18,8
60290115;6029;13274;19042,4;26467;0,692822333;57,8;6,5;32,9;15;5,6;-17,8
60290116;6029;12028,66667;16913,33333;26498;0,85549862;48,4;3,1;34,4;30;5,9;-21,8
60290117;6029;12155;17390,8;26672,66667;0,834790042;49,1;4,4;40,6;22,1;5,4;-21,6
60290118;6029;12622,6087;17015;21740,57143;0,535877916;60,8;3,5;32,5;8,9;8,2;-13,9
60290119;6029;13920;19500,90909;28212,5;0,732914549;51,7;4,9;39,9;19,7;4,2;-20,4
60290120;6029;15920;21142;29740;0,653675149;73,2;8,1;23,1;12,1;3,7;-20,2
60290121;6029;16865;25065,2;38367;0,857842746;41,5;8,4;46,2;29,8;1,8;-27,7
60290122;6029;15319,6;21701,31579;30618,66667;0,704983367;53,4;8,1;37,7;20,6;3;-22,8
60290123;6029;13671,33333;18140;23943,33333;0,566262404;61,2;3,2;35,2;8,7;6,6;-14,9
60290125;6029;13024;17730;23175;0,572532431;53,5;2,9;41,6;9,6;6,9;-14,5
60290126;6029;14170,5;18513,63636;23789;0,519535969;61,4;2;36,6;7,5;6,7;-14,2
60290127;6029;12927,71429;17062,5;21498;0,502287807;68,2;1,6;27,4;5,6;9,3;-12,1
60290128;6029;10798;14221,48148;18188;0,519636439;67;0,9;21,2;2,6;17,4;-9,1
60290130;6029;12465,38462;16434;20921,42857;0,514545695;72,4;2,1;21,9;4;11,5;-11,9
60290131;6029;12835,33333;16154;21090,76923;0,511045927;65,3;4,1;27,4;5,8;10,6;-13,2
60290132;6029;12867,5;17617,5;22383,33333;0,540135282;79,6;4,8;15,9;5,8;9,3;-15,4
60300101;6030;13157,33333;17556,8;22159;0,51271682;63,4;4;31,9;5,3;8,5;-13,1
60300102;6030;14818,09524;19935,33333;26283,46154;0,575127895;62,3;7,1;32,2;10,4;4,9;-16,9
60300103;6030;14848,66667;19528,3871;24703,33333;0,504632903;75,6;4,3;24,1;6,7;4,9;-15,6
60300104;6030;16203;21114,19048;27294,5;0,525310218;66,7;5,1;32,9;8,6;3,5;-16,8
60300105;6030;14180,43478;18125,71429;23252,77778;0,500523337;66,9;3,5;32;6,2;5,1;-13,7
60300106;6030;15082;19955,41667;26600,5;0,577211701;61,9;6,8;33,7;11,5;3,5;-17,4
60300107;6030;13948,66667;18673,5;24813,6;0,581837006;62,7;6,3;33,2;8,7;5,1;-16
